id,user_id,phase_id,scroll_id,panel_id,image_id,rating,review
1,0,1,1,1,1,3,Beautiful colors. Represents popular theme of Durga worshipped in Bengal.
2,0,1,1,10,19,2,bright blue color. king is well depicted.
3,0,1,9,6,135,1,Stylisation of dress unique. Bright colors are fascinating.
4,0,1,1,5,9,1,Large musical instrument. Warriors with shields very unique theme.
5,0,1,1,8,15,1,Panel depicts sacrifice. Useful as a religious motif.
6,0,1,5,5,61,2,Popular theme from an epic. Motifs used with emphasis of lines is unique.
7,0,1,1,3,5,1,Depicts a traditional wedding scene. The bride and bridegroom and dressed elaborately.
8,0,1,2,2,27,2,Very unusual use of colors. Depiction of folds of clothing elaborate. Scene from a popular epic.
9,0,1,2,4,31,1,The color contrast is exquisite.
10,0,1,6,4,75,1,Minimalistic use of color. 
11,7,1,1,1,1,3,""
12,7,1,1,2,3,3,""
13,7,1,1,3,5,2,""
14,7,1,1,4,7,4,""
15,7,1,1,5,9,3,""
16,7,1,1,6,11,4,""
17,7,1,1,7,13,4,""
18,7,1,1,8,15,2,""
19,7,1,1,9,17,4,""
20,7,1,1,10,19,3,""
21,7,1,1,11,21,4,""
22,7,1,1,12,23,2,""
23,7,1,2,1,25,2,""
24,7,1,2,2,27,2,""
25,7,1,2,3,29,3,""
26,7,1,2,4,31,2,""
27,7,1,2,5,33,3,""
28,7,1,3,2,37,2,""
29,7,1,3,3,39,2,""
30,7,1,3,4,41,2,""
31,7,1,4,1,43,2,""
32,7,1,4,2,45,2,""
33,7,1,4,3,47,2,""
34,7,1,4,4,49,3,""
35,7,1,4,5,51,3,""
36,7,1,5,1,53,2,""
37,7,1,5,2,55,2,""
38,7,1,5,3,57,2,""
39,7,1,5,6,63,1,""
40,7,1,5,7,65,1,""
41,7,1,5,8,67,2,""
42,7,1,6,1,69,4,""
43,7,1,6,2,71,3,""
44,7,1,6,3,73,3,""
45,7,1,6,4,75,3,""
46,7,1,6,5,77,3,""
47,7,1,6,6,79,3,""
48,7,1,7,1,81,4,""
49,7,1,7,11,101,2,""
50,7,1,7,15,109,3,""
51,7,1,8,4,117,3,""
52,7,1,8,5,119,3,""
53,7,1,8,6,121,3,""
54,7,1,8,7,123,2,""
55,7,1,9,1,125,3,""
56,7,1,9,2,127,3,""
57,7,1,9,3,129,3,""
58,7,1,9,4,131,2,""
59,7,1,9,5,133,3,""
60,7,1,9,6,135,2,""
61,7,1,9,7,137,2,""
62,7,1,9,8,139,3,""
63,7,1,9,9,141,3,""
64,7,1,10,1,143,3,""
65,7,1,10,2,145,2,""
66,7,1,10,3,147,3,""
67,7,1,10,4,149,2,""
68,7,1,10,5,151,3,""
69,7,1,10,6,153,2,""
70,7,1,10,7,155,3,""
71,7,1,11,1,159,2,""
72,7,1,10,8,157,3,""
73,7,1,11,4,165,2,""
74,7,1,11,6,169,2,""
75,7,1,12,2,173,3,""
76,7,1,12,1,171,3,""
77,7,1,12,3,175,2,""
78,7,1,12,5,179,3,""
79,7,1,12,6,181,2,""
80,7,1,12,7,183,2,""
81,7,1,12,8,185,2,""
82,7,1,12,9,187,2,""
83,7,1,12,10,189,2,""
84,7,1,12,11,191,3,""
85,7,1,12,12,193,3,""
86,7,1,12,13,195,3,""
87,7,1,12,14,197,3,""
88,7,1,13,3,203,3,""
89,7,1,13,2,201,2,""
90,7,1,13,1,199,3,""
91,7,1,13,4,205,4,""
92,7,1,13,5,207,3,""
93,7,1,13,6,209,3,""
94,7,1,13,7,211,3,""
95,0,1,1,1,1,5,""
96,0,1,1,2,3,5,I like the way it shows a woman feeding cows.
97,0,1,1,3,5,5,I like how it displays details in each character's outfit.
98,0,1,1,4,7,5,The Storytelling in this painting is compelling.
99,0,1,1,5,9,5,I like the use of colors and the essence of fighter traditions it captures.
100,0,1,1,1,1,5,I liked how all the gods are displayed in this scroll and how goddess Durga is shown in the middle showcasing the importance of feminine energy amongst all gods.
101,0,1,1,2,3,5,I can see goddess Krishna and Radha although I am not quite sure that they are them only. I can also see three houses and a women feeding grass to cows.
102,0,1,1,3,5,5,I like the colour scheme in this scheme and how all of them are having a discussion about something. I am not quite sure of who they are but because of the snake I am assuming that there is Lord Shiva in this scroll
103,0,1,1,4,7,5,What I liked in this scroll is that there are few ppl in the boat praising and bestowing worship to a women who I am assuming is Goddess Saraswati because Goddess Saraswati resides in a huge lotus.
104,0,1,1,5,9,4,I can see two people or worriors fighting in this image showing how brave they are and a person playing dhol to give a background music.
156,0,1,1,5,9,2,What I liked about this panel is that two people are fighting and a person is playing background music.
441,0,1,5,2,55,1,""
105,0,1,1,6,11,4,I am seeing that lots of people are doing their daily chores like there is a school and two teachers are teaching a few students there are few women below a tree worshiping a god and a mother with her child.
