user_id,item_id,time,item_series_id
0,73,889751736,SB73
0,101,889751736,SB101
0,252,889751712,SB252
0,4,889751712,SB4
0,168,889751711,SB168
0,109,889751711,SB109
0,239,889751633,SB239
0,186,888732928,SB186
0,31,888732909,SB31
0,206,888732908,SB206
0,266,888732827,SB266
0,17,887432020,SB17
0,5,887431973,SB5
0,241,887431973,SB241
0,218,887431921,SB218
0,126,887431908,SB126
0,19,887431883,SB19
0,267,887431672,SB267
0,268,887431647,SB268
0,251,885345822,SB251
0,262,885345728,SB262
0,254,878873389,SB254
0,219,878873388,Series 21_P6
0,225,878543541,SB225
0,43,878543541,SB43
0,85,878543541,SB85
0,99,878543541,SB99
0,151,878543541,SB151
0,8,878543541,SB8
0,166,878543541,SB166
1,277,888980240,SB277
1,310,888980085,SB310
1,305,888980029,SB305
1,304,888979945,SB304
1,312,888979693,SB312
1,285,888979353,SB285
1,296,888979197,SB296
1,300,888979197,SB300
1,306,888979061,SB306
1,268,888979061,SB268
1,247,888552084,SB247
1,49,888552084,SB49
1,309,888552084,Series 22_P1
1,309,888552084,Series 22_P2
1,239,888552084,SB239
1,279,888552084,SB279
1,307,888552084,SB307
1,99,888552084,SB99
1,124,888552084,Series 10_P1
1,281,888552084,SB281
1,298,888552084,SB298
1,280,888552017,SB280
1,234,888552017,SB234
1,12,888551922,SB12
1,278,888551922,SB278
1,109,888551853,SB109
1,13,888551853,SB13
1,9,888551853,SB9
1,275,888551745,SB275
1,290,888551648,SB290
2,314,889237482,SB314
2,316,889237482,SB316
2,313,889237482,SB313
2,178,889237482,SB178
2,327,889237455,SB327
2,324,889237455,SB324
2,344,889237455,SB344
2,323,889237455,SB323
2,317,889237455,SB317
2,256,889237455,SB256
2,325,889237455,SB325
2,343,889237455,SB343
2,336,889237455,SB336
2,342,889237455,SB342
2,347,889237315,Series 9_P2
2,326,889237297,SB326
2,260,889237297,SB260
2,334,889237297,SB334
2,321,889237297,SB321
2,331,889237269,SB331
2,319,889237269,SB319
2,345,889237269,SB345
2,318,889237269,SB318
2,242,889237247,SB242
2,320,889237247,SB320
2,351,889237247,SB351
2,290,889237224,SB290
2,328,889237224,SB328
2,303,889237224,SB303
2,267,889237224,SB267
3,10,892004520,SB10
3,290,892004409,SB290
3,260,892004275,SB260
3,256,892004275,SB256
3,354,892004275,SB354
3,49,892003526,SB49
3,353,892003525,SB353
3,352,892003459,SB352
3,207,892003374,SB207
3,357,892002353,SB357
3,350,892002353,SB350
3,320,892002353,SB320
3,297,892002353,SB297
3,299,892002352,SB299
3,325,892002352,SB325
3,323,892002352,SB323
3,355,892002352,SB355
3,358,892002352,Series 17_P2
3,356,892002352,Series 23_P1
3,356,892002352,Series 23_P2
3,267,892001690,SB267
3,324,892001537,SB324
3,284,892001445,Series 8_P1
3,296,892001445,SB296
3,254,892001374,SB254
4,449,879198898,Series 5_P3
4,384,879198898,SB384
4,453,879198898,Series 19_P3
4,438,879198898,Series 20_P4
4,391,879198898,SB391
4,23,879198229,SB23
4,406,879198183,SB406
4,39,879198109,SB39
4,372,879198045,SB372
4,390,879198031,SB390
4,160,879197864,SB160
4,191,878845197,SB191
4,93,878844651,Series 7_P1
4,405,878844651,SB405
4,396,878844630,SB396
4,62,878844629,SB62
4,373,878844615,SB373
4,422,878844510,SB422
4,100,878844510,SB100
4,404,878844495,SB404
4,166,878844495,SB166
4,186,878844495,SB186
4,435,878844423,Series 20_P6
4,436,878844423,Series 20_P2
4,433,878844423,Series 20_P5
4,434,878844423,Series 20_P3
4,448,878844397,Series 5_P2
4,255,878844208,SB255
4,240,878844164,SB240
4,230,875729064,Series 25_P1
5,268,883717304,SB268
5,461,883683508,SB461
5,535,883681433,SB535
5,514,883603042,SB514
5,85,883603013,SB85
5,27,883603013,SB27
