user_id,item_id,time
0,0,887673600.0
0,1,890697600.0
0,4053,946684800.0
0,1299,951350400.0
0,497,952214400.0
0,6593,955238400.0
0,8162,961804800.0
0,8722,964224000.0
0,5340,987120000.0
0,3790,1018483200.0
0,18698,1059696000.0
1,2,893289600.0
1,3,893289600.0
1,4,893289600.0
1,56,896054400.0
1,122,898041600.0
1,165,898732800.0
1,199,899769600.0
1,472,903916800.0
1,791,910569600.0
1,1254,921196800.0
1,498,957225600.0
1,8352,960940800.0
2,5,893462400.0
2,9,893980800.0
2,10,893980800.0
2,11,894326400.0
2,3826,959817600.0
2,5518,960854400.0
2,6988,963705600.0
2,7839,963705600.0
2,9429,965865600.0
2,10778,979171200.0
2,1003,990748800.0
2,2615,1023148800.0
2,5879,1025568000.0
2,12516,1166400000.0
3,6,893721600.0
3,7,893721600.0
3,2249,944697600.0
3,3860,946339200.0
3,3005,947203200.0
3,3465,947203200.0
3,2214,947721600.0
3,12277,1036886400.0
3,17653,1045526400.0
3,21361,1108080000.0
3,26952,1182038400.0
3,28400,1217462400.0
4,8,893894400.0
4,47,921801600.0
4,222,921801600.0
4,643,921801600.0
4,698,921801600.0
4,1290,921888000.0
4,1291,921888000.0
4,1505,925257600.0
4,82,925516800.0
4,1527,925516800.0
4,1529,925516800.0
4,1531,925516800.0
4,1881,968716800.0
4,5257,968716800.0
4,6952,968889600.0
4,7462,968889600.0
4,5137,969148800.0
4,11630,981763200.0
4,326,981936000.0
4,10911,981936000.0
4,8604,983404800.0
4,11576,986256000.0
4,2397,986515200.0
4,8445,987638400.0
4,125,996537600.0
5,12,894412800.0
5,245,900547200.0
5,336,901843200.0
5,581,906508800.0
5,1135,919036800.0
5,509,924220800.0
5,1452,924480000.0
5,1457,924480000.0
5,1545,935020800.0
5,4825,949017600.0
5,4827,949017600.0
5,1243,954115200.0
5,7226,957225600.0
5,456,957744000.0
5,7456,957916800.0
5,26144,1164758400.0
6,13,894499200.0
6,14,894585600.0
6,15,894585600.0
6,43,895536000.0
6,570,906422400.0
6,571,906422400.0
6,583,906508800.0
6,15059,1024099200.0
6,12896,1033948800.0
6,12895,1036108800.0
6,30729,1276560000.0
6,33820,1363910400.0
6,34006,1367280000.0
7,16,894844800.0
7,17,894844800.0
7,19,894844800.0
7,21,894844800.0
7,31,895017600.0
7,35,895017600.0
7,36,895017600.0
7,37,895104000.0
7,60,896227200.0
7,63,896313600.0
7,65,896486400.0
7,66,896486400.0
8,18,894844800.0
8,20,894844800.0
8,22,894844800.0
8,26,894931200.0
8,28,895017600.0
8,29,895017600.0
8,30,895017600.0
8,32,895017600.0
8,33,895017600.0
8,34,895017600.0
8,38,895190400.0
8,39,895190400.0
8,42,895536000.0
8,45,895536000.0
8,52,895968000.0
8,68,896572800.0
8,70,896572800.0
8,73,896832000.0
8,74,896832000.0
8,75,896832000.0
8,84,897350400.0
9,23,894931200.0
9,24,894931200.0
9,25,894931200.0
9,27,894931200.0
9,46,895622400.0
9,47,895622400.0
9,64,896313600.0
9,93,897523200.0
9,144,898128000.0
9,194,899683200.0
9,203,899769600.0
9,616,907286400.0
9,757,909792000.0
9,992,914976000.0
9,1426,924048000.0
9,2028,932342400.0
9,2422,937440000.0
9,2561,940118400.0
9,2940,942537600.0
9,3079,943315200.0
9,2867,944179200.0
9,3302,944179200.0
9,3453,944697600.0
9,3883,946166400.0
9,3899,946166400.0
9,4037,946598400.0
9,1248,949622400.0
9,4866,949795200.0
9,4928,950918400.0
9,5649,951868800.0
9,6185,954028800.0
9,6648,955324800.0
9,7494,958003200.0
9,2269,959212800.0
9,6922,959212800.0
9,6694,959299200.0
9,8133,960076800.0
9,8451,961286400.0
9,9215,964656000.0
9,8967,969494400.0
9,9941,970790400.0
9,10482,972172800.0
9,2602,973900800.0
9,5704,974592000.0
9,10634,980985600.0
9,12432,990576000.0
9,12770,991872000.0
9,12345,995587200.0
9,12682,997833600.0
9,13683,999648000.0
9,13776,1001808000.0
9,14339,1006387200.0
9,14813,1013644800.0
9,15473,1018310400.0
9,15482,1018569600.0
9,14616,1019433600.0
9,15589,1019692800.0
9,15783,1022457600.0
9,15416,1024099200.0
9,15884,1026086400.0
9,15689,1026172800.0
9,15046,1030406400.0
9,6824,1030838400.0
9,16555,1031961600.0
9,7900,1035331200.0
9,15634,1035417600.0
9,17109,1037923200.0
9,17192,1038528000.0
9,10380,1038873600.0
9,16666,1047859200.0
9,17152,1048982400.0
9,17942,1049155200.0
9,18033,1049760000.0
9,18029,1049846400.0
9,18071,1051142400.0
9,856,1054512000.0
9,3660,1054771200.0
9,18429,1055289600.0
9,18426,1055462400.0
9,18737,1060905600.0
9,18442,1061510400.0
9,18907,1063756800.0
9,19112,1064707200.0
9,19174,1064880000.0
9,18482,1065225600.0
9,19074,1065312000.0
9,19459,1068422400.0
9,19328,1068508800.0
9,19476,1068768000.0
9,19478,1069804800.0
9,19608,1069977600.0
9,19205,1071878400.0
9,8117,1077926400.0
9,8571,1078012800.0
9,19413,1078444800.0
9,20014,1078531200.0
9,19193,1080259200.0
9,20475,1081468800.0
9,18564,1082332800.0
9,20889,1087171200.0
9,20902,1087430400.0
9,20953,1088985600.0
9,11628,1089936000.0
9,6370,1090627200.0
9,21166,1090886400.0
9,2460,1091232000.0
9,14805,1091664000.0
9,21416,1094860800.0
9,21484,1095120000.0
9,7798,1095465600.0
9,11517,1099785600.0
9,21951,1100304000.0
9,21928,1100995200.0
9,22024,1102204800.0
9,21836,1103673600.0
9,7054,1103760000.0
9,22304,1106352000.0
9,22479,1111190400.0
9,22883,1114560000.0
9,19036,1114646400.0
9,22863,1114819200.0
9,19266,1114905600.0
9,2556,1115510400.0
9,22575,1116115200.0
9,22950,1116633600.0
9,22737,1123286400.0
9,22467,1125273600.0
9,23712,1126569600.0
9,22191,1127865600.0
9,23737,1130025600.0
9,21617,1131235200.0
9,24004,1131580800.0
9,24207,1133049600.0
9,24288,1136592000.0
9,24716,1140912000.0
9,12035,1141430400.0
9,13445,1143244800.0
9,24569,1143417600.0
9,26055,1164499200.0
9,26380,1175385600.0
9,26415,1176595200.0
9,26897,1181347200.0
9,26772,1181520000.0
9,27388,1190592000.0
9,27299,1195257600.0
9,28083,1206403200.0
9,28948,1226361600.0
9,29410,1241308800.0
9,29765,1247875200.0
9,30729,1276646400.0
9,31063,1286409600.0
9,31144,1288915200.0
9,30052,1292198400.0
9,31452,1299196800.0
9,31615,1303776000.0
9,31656,1304985600.0
9,32122,1318291200.0
9,32136,1318636800.0
9,32207,1320278400.0
9,32184,1323907200.0
9,32420,1327449600.0
9,32629,1334016000.0
9,33118,1347840000.0
9,33242,1350691200.0
9,33384,1353456000.0
9,33820,1363132800.0
9,33953,1366416000.0
9,34053,1371254400.0
9,34640,1383350400.0
9,34817,1389657600.0
9,34964,1396828800.0
10,40,895190400.0
10,41,895190400.0
10,79,896918400.0
10,849,911865600.0
10,879,912729600.0
10,1209,920419200.0
10,1215,920419200.0
10,1300,922147200.0
10,815,922233600.0
10,1363,923011200.0
11,44,895536000.0
11,409,903571200.0
11,413,903571200.0
11,735,909532800.0
11,737,909532800.0
11,531,920073600.0
11,1680,928108800.0
11,2324,936144000.0
11,3743,960422400.0
11,568,982022400.0
11,17928,1051574400.0
11,20402,1094774400.0
11,20448,1107388800.0
11,23501,1142726400.0
11,21151,1145750400.0
11,23772,1156636800.0
11,19990,1189468800.0
11,27498,1192924800.0
11,27681,1196121600.0
11,8422,1273536000.0
12,48,895622400.0
12,1736,928713600.0
12,3753,953337600.0
12,475,968112000.0
12,12949,993254400.0
12,16296,1031356800.0
12,2800,1210377600.0
12,31147,1310774400.0
12,31844,1310774400.0
12,33438,1356998400.0
13,49,895708800.0
13,50,895708800.0
13,51,895708800.0
13,58,896140800.0
13,59,896140800.0
13,61,896227200.0
13,62,896227200.0
13,67,896486400.0
13,85,897436800.0
13,113,897955200.0
13,224,900374400.0
13,232,900374400.0
13,2594,943833600.0
13,4083,946857600.0
13,7447,957916800.0
13,2523,958608000.0
13,6979,959299200.0
13,32,959385600.0
13,862,959385600.0
13,2354,959385600.0
13,10894,980812800.0
13,3420,981417600.0
