user_id,item_id,time,item_series_id
0,73,889751736,SB74
0,101,889751736,SB102
0,255,889751712,SB256
0,4,889751712,SB5
0,170,889751711,SB171
0,110,889751711,SB111
0,241,889751633,SB242
0,188,888732928,SB189
0,31,888732909,SB32
0,208,888732908,SB209
0,269,888732827,SB270
0,17,887432020,SB18
0,5,887431973,SB6
0,243,887431973,SB244
0,220,887431921,SB221
0,128,887431908,SB129
0,19,887431883,SB20
0,270,887431672,SB271
0,271,887431647,SB272
0,254,885345822,SB255
0,265,885345728,SB266
0,257,878873389,SB258
0,221,878873388,Series 21_P6
0,227,878543541,SB228
0,43,878543541,SB44
0,85,878543541,SB86
0,99,878543541,SB100
0,153,878543541,SB154
0,8,878543541,SB9
0,168,878543541,SB169
0,177,878543541,SB178
0,86,878543541,SB87
0,15,878543541,SB16
0,53,878543308,SB54
0,50,878543275,SB51
0,74,878543238,SB75
0,141,878543238,SB142
0,138,878543216,SB139
0,231,878543196,Series 4_P1
0,62,878543196,SB63
0,75,878543176,SB76
0,77,878543176,Series 19_P1
0,225,878543176,Series 2_P2
0,139,878543133,Series 13_P1
0,240,878543133,SB241
0,37,878543075,SB38
0,36,878543030,SB37
0,65,878543030,SB66
0,137,878543006,SB138
0,124,878542960,SB125
0,11,878542960,SB12
0,200,878542960,SB201
0,207,878542960,SB208
0,115,878542960,SB116
0,57,878542960,SB58
0,2,878542960,SB3
0,209,878542909,SB210
0,204,878542909,SB205
0,131,878542889,SB132
0,33,878542869,SB34
0,42,878542869,SB43
0,28,878542869,Series 3_P3
0,102,878542845,SB103
0,238,878542845,SB239
0,109,878542845,SB110
0,100,878542845,SB101
0,148,878542791,SB149
0,87,878542791,SB88
0,20,878542772,SB21
0,112,878542738,SB113
0,224,878542738,SB225
0,197,878542717,SB198
0,32,878542699,SB33
0,157,878542699,SB158
0,71,878542678,SB72
0,140,878542608,SB141
0,81,878542589,SB82
0,151,878542589,SB152
0,232,878542552,Series 25_P1
0,130,878542552,SB131
0,29,878542515,SB30
0,48,878542478,SB49
0,56,878542459,SB57
0,264,878542441,SB265
0,111,878542441,SB112
0,60,878542420,SB61
0,229,878542420,Series 21_P3
0,161,878542420,SB162
0,34,878542420,Series 19_P2
0,166,878542383,SB167
0,218,878542327,SB219
0,89,878542300,SB90
0,61,878542282,SB62
0,202,878542231,SB203
0,154,878542201,SB155
0,228,878542075,Series 21_P2
0,210,878541970,SB211
0,172,878541803,SB173
0,114,878541637,SB115
